id,foodName,ingredient,amount,time,level,recipe
11,간재미회무침,"간재미,쪽파,오이 1/2개,양파 1/2개,고추장 2큰술,고운고추가루 5큰술,3배 식초 1/2컵,설탕 1/2컵,다진마늘 2큰술,물엿 4큰술,다진생강 1큰술,소금 1꼬집,흑임자 깨 2큰술",,,중급,"['1. 먼저 간재미 껍질을 벗긴뒤 먹기 좋게 썰어서', '2. 껍질 벗겨서 썰어놓은 간재미에 식초를 넣고 3시간 절여둔다.', '3. 오이는 눈썹설기로 썰어서 소금에 살짝 절여 준다(저는 그냥 오이가 가늘어 통썰기를 했어요)', '4. 양파도 채썰어서 준비 한다.', '5. 절여둔 간재미의 물기을 꼭 짜서 준비하고 오이도 물기를 꼭짠다.', '6. 준비한 양념을 넣고 잘 버무린뒤 흑임자깨를 위에 뿌리고 그릇에 담아낸다.']"
12,갈매기살구이,"돼지고기갈매기살 1팩,스테이크 시즈닝 1/2t,표고버섯 5개,소금 약간,후추 약간",2인분,15분 이내,아무나,"['1. 팬에 갈매기살을 노릇노릇 구워주세요  자주 뒤집지 마시고 바닥이 노릇한 색이 날 때까지 구워주세요', '2. 뒤집어 시즈닝을 뿌려주세요  한 두 꼬집 골고루 뿌려주세요 고기 반대쪽도 노릇노릇한 색이 나도록 구워주세요', '3. 고기 기름에 표고버섯도 넣고 구워주고 마찬가지로 시즈닝 한꼬집 뿌려 주시면 간단하고 맛있는 갈매기살 구이 완성^^']"
13,갈비구이,"LA갈비 1키로,양파대 1/2개,배 1/4개,사과 1/2개,간장 6큰술,설탕 2큰술,맛술 3큰술,참기름 1큰술,생강술 1큰술,다진마늘 1큰술,물엿 3큰술,후추 약간",4인분,60분 이내,초급,"['1. 갈비는 찬물에 담가 핏물을 빼고 손으로 주물러 흔들어 씻어 뼛가루를 제거한다. 물기를 뺀다.', '2. 양파,배,사과는 껍질을 벗기고 강판에 갈아', '3. 즙만 사용한다.', '4. 윗 분량으로 양념장을 만든다. 싱거우면 간장 추가', '5. 갈비를 양념장에 재워둔다.', '6. 팬에 기름을 두르고 갈비를 구워낸다.', '7. 접시에 잘라 담는다.']"
14,갈비찜,"돼지갈비 2kg,감자,양파,대파,당근,버섯,밤,청양고추,진간장 2컵,설탕 1컵,물 2컵,맛술 1컵,파 1컵,참기름 1/3컵,다진마늘 1/2컵,다진생강(생략가능) 1T",4인분,90분 이내,중급,"['1. 반나절 이상 물에 담궈서 핏물을 빼야겠지만, 그러기엔 시간이 넘 부족하고 오늘 저녁 당장 먹어야겠어서 2시간만 담궈주었어요.', '2. 중간 중간에 물을 갈아주면서 뼈가루나 불순물 제거와 함께 핏물도 싹 빼주세요. 갈비는 뼈가 있어서 기계로 작업하기 때문에 뼛가루가 곳곳에 남아있게되는데, 이 과정을 거치지않으면 그걸 고스란히 먹게될수도 있으니 시간이 없더라도! 이건 꼭 빼먹지마세요.', '3. 핏물을 빼는동안 야채들을 손질하구요, 재료는 대체적으로 조금 큼직하게 써는게 좋아요. 오래 익혀야 하니 그 과정에서 형체를 알아볼수 없게 될수도 있거든요.', '4. 백선생님께서 당근이나 감자는 동글동글하게 다듬어 주라고 했는데, 저는 그것마저 아까워서 그냥 막 썰어 넣었네요ㅋㅋㅋ 손님이 올것도 아니고 우리 가족 먹을거니 대충 대충', '5. 돼지갈비찜 만드는법 중에 제일 중요한 고기용 만능소스! 요거 메모를 해서라도 꼭 기억해두세요~ 비율이 중요하니 위에 적힌 레시피대로 만들어 놓고 냉장보관했다가 고기요리 할때마다 꺼내서 사용하기도 좋답니다.', '6. 생강은 없어서 생략했는데 있으면 넣어주시면 좋겠죠? 없으면 저 처럼 안넣으셔도 맛에 큰차이는 없을듯 싶어요~ 재료는 최대한 비슷하게만 넣어주시면 되니 없다고 마트 막 달려가고 그러지마세요.', '7. 두 시간 동안 핏물을 제거한 돼지갈비에 미리 만들어둔 고기용 만능소스를 부어주어요.', '8. 고기가 요만큼 잠길정도로~ 2kg에 다 사용하려니 많은듯해서 저는 남은거 유리병에 부어서 따로 냉장고에 넣어뒀어요. 애들 간장불고기 할때 저것만 넣고 만들어도 참 맛있겠더라구요^^', '9. 그리고 물을 조금 더 넉넉하게 부어줍니다. 따로 계랑하지 않아서 얼만큼 부었는지 기억이 나진않지만, 첨부터 너무 많이 넣진 마시고 한컵씩 넣어가면서 간을 보고 가감하시면 되어요.', '10. 부글부글 끓기 시작하면 거품이 둥둥 뜨게되는데요, 요건 걷어내야 하는거 아시쥬?', '11. 20분정도 끓인후 딱딱한 무나 감자를 먼저 넣어주세요. 저는 무가 없어서 감자만 넣어줬어요~ 백종원 갈비찜의 포인트 중 하나!! 야채를 나누어서 넣는건데요, 1차: 무 2차: 버섯,당근 3차: 양파,고추,파 이런식으로 딱딱한 재료들을 먼저 넣어 익혀주는거에요.', '12. 끓으면 다음재료를 또 넣어주고, 간을 보고 짜다 싶으면 물을 조금씩 첨가해가며 끓여주시구요~', '13. 마지막엔 금방 익는 야채들을 넣고 한번 팍! 끓여주면 끝!!']"
15,갈비탕,"갈비탕용 소고기 1kg,무 1토막,대파 흰부분 5대,양파 1/2개,당면 1줌,물 12종이컵,맛술 3T,꽃소금 3티스푼,간장 2T,다진마늘 1T,자른대파 1/2뿌리,후추 약간",2인분,2시간 이상,초급,"['1. 고기는 물에 담가 소주를 휘~ 둘러 3시간이상 담가 핏기를 빼줍니다. 물은 2-3차례 갈아주세요.', '2. 당면은 물에 불려둡니다.', '3. 핏기뺀 고기에 물을 넣고 10분정도 끓여 불순물을 빼내어 줍니다.', '4. 고기는 물로 깨끗이 씻어 준비합니다.', '5. 육수내기용 양파,대파,무를 준비해줍니다. 저는 다시팩에 대파와 양파를 넣었습니다.', '6. 고기에 물 9종이컵을 넣고 육수내기용 통대파,통양파, 통무,맛술을 넣어 센불에서 5분정도 끓여줍니다.', '7. 중불로 바꾸어 30분정도 끓여줍니다.', '8. 물 3종이컵을 더 넣고 중약불로 바꾸어 1시간30분정도 끓여줍니다.', '9. 육수내기용 무,파,양파를 거둬내 버리고 면보등을 이용하여 맑은 국물만 남도록합니다.', '10. 당면,대파,간장,다진마늘,소금을 넣어 당면이 익을때 까지 끓여줍니다. 불은 당면이라 금새 익습니다.', '11. 그릇에 담아내고 취향에 따라 후추와 파를 추가하여 완성.']"
16,갈치구이,"갈치 2마리,식용유 3T,부침가루 2T,쌀뜨물 적당량,후추 약간,맛소금 2꼬집",4인분,60분 이내,초급,"['1. 갈치를 쌀뜨물에 넣어 해동 해 줍니다. 생물은 그냥 조리하셔도 됩니다.', '2. 비린내는 껍질에서 많이나므로 껍질을 칼로 쓱쓱 밀듯이하여 벗겨준뒤 맛소금 한꼬집과 후추로 밑간을 합니다.', '3. 부침가루 2T를 준비해 갈치에 입혀줍니다. 가루는 털어내어 얇게 입혀 줍니다.', '4. 후라이팬에 식용유를 넉넉히 두르고 예열한뒤 갈치를 올립니다.', '5. 갈치는 두껍지않은 생선이므로 다른 생선보다 빨리 익습니다. 중불에서 앞뒷면 살이 다 익으면 겉이 노릇해지게 한번씩만 바삭하게 구워내면 완성.']"
17,갈치조림,"갈치,무,양파,청양고추,대파,다시마,간장,설탕,물엿,고추가루,다진마늘,다진생강,맛술,후추",2인분,30분 이내,중급,"['1. 육수는 무 넙적하게 썰어주고, 다시마 4~5장, 무가 잠길정도의 물로 끓여줍니다. 끓기시작하면 다시마는 빼주세요.', '2. 남대문표양념장 : 간장8, 설탕1, 물엿1, 고추가루3, 다진마늘1, 다진생강 약간, 여기에 맛술2, 후추조금 더 추가했네요.', '3. 갈치는 내장과 비늘을 깨끗하게 손질하여 물기를 빼줍니다~생선비린내는 물에 깨끗하게 씻어야 없어집니다', '4. 끓어오른 육수에 바로 갈치올리고, 양념장 두둑하게 올려줍니다.', '5. 양파,청양고추,대파까지 올리고, 뚜껑닫고 한소끔 끓입니다.', '6. 중간에 갈치위로 양념국물 덮어줘가며 끓이면 완성^^']"
18,갈치찌개,"갈치(大) 1+1/2마리,무 나박 썬것 1컵,양파 1/2개,애호박 1/2개,두부 1/2모,풋고추 1개,팽이버섯 1/2줌,쑥갓 약간,대파 1/2대,식용유 2스푼,고춧가루 3스푼,고추장 1스푼,멸치다시물 6컵,소금 0.3 스푼,국간장 1스푼,생강술 1스푼,후춧가루 약간",4인분,30분 이내,초급,"['1. 갈치는 수세미를 이용해서 은비늘을 깨끗히 벗겨내고 내장은 깨끗히 제거하세요. 야채재료들은 손질해서 나박나박 썰어놓고요.', '2. 찌개냄비에 식용유 2스푼을 두르고 다진 마늘 0.5스푼과 고춧가루 3스푼을 아주 약한 불에서 볶아주세요. 이렇게하면 고추기름을 즉석에서 만드는 것과 똑같아요. (불이 세면 금방 새카맣게 타요. 주의)', '3. 여기에 멸치다시물을 6컵 붓고 (멸치다시물 : 무, 멸치, 북어머리, 다시마를 넣고 푹 우려낸 물)', '4. 무가 가장 단단하니 무를 나박썰어 넣고 팔팔 10여분 끓입니다.', '5. 무가 말랑하게 익어가면', '6. 양파, 애호박, 갈치를 넣고 뚜껑을 닫아 한 소끔 끓여요. 약 5분 정도. 그리고 양념(고추장 1스푼, 소금 0.3 스푼, 국간장 1스푼, 생강술 1스푼, 후춧가루 약간) 합니다.', '7. 어느 정도 끓이다가 팽이버섯, 대파, 풋고추를 넣고.. 잠시만 더 끓여내면 끝. 생두부를 넣어주면 좋은데요. 저는 저녁에 두부부침 먹고 남은게 있어서 그걸 넣었답니다.', '8. 국물맛이 찐한 갈치찌개 완성. 쑥갓은 불을 끄고 넣으면 향긋하니 향이 살아있어서 좋아요. 갈치찌개는요. 물을 너무 많이 잡으면 생선국물맛이 희석되서 맛이 떨어져요.잘박잘박한 것보다 조금 더 많이. 암튼 국물이 적어야 맛있답니다. 이미 넣은 물은 빼내기 힘드니 나중에 보고 다시물을 더 첨가하는게 더 좋겠지요? 갈치가 싱싱하기만 하면 대충 끓여도 넘나 맛있답니다. 다른 반찬이 필요없어용. 맛 보장해용.']"
19,감자구이,"감자 5개,당근 약간,풋고추 1개,소금,마요네즈 2,설탕 2스푼,소금,후춧가루 약간",3인분,60분 이내,아무나,"['1. 감자는 약 1.5cm 두께로 썰어주세요', '2. 냄비에 감자 넣고 생수 2/3컵과 소금 1/5스푼을 넣고 삶아주세요 센 불에서 끓으면 중불~약불로 20분~25분을 삶아주세요', '3. 감자 삶는동안 당근 곱게 다지고, 풋고추는 씨제거하고 다집니다', '4. 20분 후 감자가 익으면 물을 따라 버리고 불 켜고 남아 있는 수분을 날려주세요', '5. 냄비 바닥이 바싹 마른 정도가 좋아요', '6. 뜨거울때 감자를 으깬 후 설탕2, 마요네즈 2스푼, 소금을 넣고 섞어요', '7. 당근, 풋고추 넣고 섞은 후 후춧가루 약간 넣고 골고루 섞어요 여기에 마요네즈랑 단맛을 추가하면 감자 샐러드가 됩니다~', '8. 쟁반에 기름 약간 바른 후 감자를 올려 펴주세요', '9. 위에 종이포일을 덥고 편편하게 모양을 만들어 냉동실에 넣고 1시간을 두세요', '10. 1시간 후 종이 포일 붙인 채로 쟁반을 뒤집어 주세요', '11. 둥근 모양 틀이 있어 사용했는데요 손으로 빚어 만들어도 됩니다', '12. 콕 찍어 위를 살짝 눌러주면 쏙 빠져요', '13. 에어프라이어에 넣고 200도에서 총 20분을 구웠는데요 1차는 약 13분 정도 굽고 뒤집어서 나머지 시간을 구워주세요', '14. 뒤집을 때에 모양이 찌 그러 질 수도 있으니 참고하시면 좋을것 같아요', '15. 겉은 바삭 속은 촉촉하고 부드러운 감자구이 맛있어요']"
20,감자국,"알감자 4개,양파 1/3개,대파 1/2개,땡초or홍고추 1개,마늘 5쪽,멸치다시팩 1팩,맛소금 취향껏",2인분,15분 이내,아무나,"['1. 16센티 편수냄비 기준 2~3인분 정도 되는 양이에요~:-) 냄비 2/3만큼 물을 넣어서 멸치육수를 내어 주세요 ^^', '2. 저는 알감자 4개 넣었어요^^ 일반 작은 감자는 2개정도 되는 양이에요^^ 먹기좋게 썰어 주세요~', '3. 먹기좋게 썰은 감자는 국물을 맑게 하기위해 한번 헹군후 물에 잠시 담궈 놓아요^^', '4. 그사이 대파반줄기,양파1/3개,마늘5쪽,땡초(or홍고추) 하나도 먹기좋게 썰어 놓구요~', '5. 멸치육수가 우러나면 감자를 넣고 뽀글뽀글 끓여 주시다가~', '6. 마늘과 양파를 넣어 주시구요~', '7. 또 뽀글뽀글 끓이시다가 마지막으로 대파와 땡초 넣어서 맛소금으로 간을 맞추심 끝이에요^~^ 오래 끓이실 필요없이 감자만 익으면 되셔요^^', '8. 김이 모락모락~ 아직도 여전히 추운데 간단하면서 따듯하게 한그릇 어떠셔요^^']"
21,감자볶음,"감자 3개,양파 1/2개,굴소스 1스푼,맛간장(진간장) 3스푼,설탕 1스푼,올리고당 1스푼,카놀라유 1-2스푼,다진마늘 1/2스푼,통깨 조금",3인분,30분 이내,아무나,"['1. 감자는 먹기 좋은 크기로 썰어서 물에 헹궈주세요.양파도 적당한 크기로 썰어주세요', '2. 팬에 기름을 두르고 다진마늘 1/2을 넣고 마늘기름을 만들어주세요.약불로 해야 타지않아요', '3. 마늘향이 올라오면 감자,양파를 넣고 볶아주세요', '4. 3에 굴소스 1,맛간장 3,설탕 1을 넣고 볶아줍니다', '5. 뚜껑을 덮고 약불로 익혀주세요.이렇게하면 따로 물을 추가하지 않아도됩니다', '6. 감자가 거의 익었을때 올리고당 1을 넣고 조금 더 조려줍니다', '7. 불을 끄고 통깨 솔솔 뿌려줍니다']"
22,감자샐러드,"감자,계란,당근,양파,오이,마요네즈,머스터드",2인분,30분 이내,초급,"['1. 감자의 싹이 났다면 싹 난 부분을 많이 도려내서 껍질을 깍아주세요. 그런다음 굵은 소금 한스푼 넣고 삶아줍니다. 전 작은거 7개 사용했어요.', '2. 계란도 식초 한 숟가락 소금 한 스푼 넣고 삶아 주세요. 샐러드 할 때는 완숙으로 삶아야 하니 약 12-13분 정도 삶아주면 좋아요. 계란 삶을 때 식초 넣는 이유는 식초가 깨져서 지저분해 지는걸 방지해 준답니다.', '3. 감자샐러드 안에 넣어줄 야채를 손질해 주세요. 야채는 개인 기호에 좋아하는걸로 추가해서 넣어주시면 되겠죠. 파프리카나 피클, 옥수수콘 같은 거 같이 넣어줘도 맛있답니다.', '4. 오이, 당근, 양파를 잘게 다져주세요. 큰 볼에 넣고 소금 한스푼 넣은 다음 절여주세요. 약 15-20분 정도 해주시면 되구요~ 너무 오래 절이면 짜져요.', '5.  잘 삶아진 감자와 계란을 으깨주세요. 약간 따뜻할 때 손으로 부수는게 제일 잘 으깨지는 것 같아요. 포크나 매셔 있다면 매셔로 해주셔도 된답니다. 저는 감자 7개 + 계란 6개를 넣어주었는데요.', '6. 절여놓은 야채가 약 20분 정도 지나면 저렇게 물이 생겨요. 야채 물기를 쫙 제거해주세요. 물기가 많으면 샐러드가 질어지니깐 가능하면 아주 꾹 짜주세요.', '7. 으깨놓은 감자, 계란에 물기 제거한 야채를 넣어주세요. 그리고 잘 섞어주세요.', '8. 잘 섞은 다음 마요네즈 3스푼 + 머스터드 1스푼 + 설탕 1스푼 넣어주세요. 그리고 잘 섞어줍니다. 머스터드 싫어하시는 분은 넣지 않아도 무방해요. 야채 간이 들어서 저는 소금간을 따로 하지 않았는데요. 맛 보시고 싱겁다면 소금 추가해주세요.', '9. 감자샐러드 완성됐지요.', '10. 모닝빵은 끝까지 자르지 않는게 좋아요. 빵을 다 자르게 되면 먹을때 옆으로 막 세어 나오잖아요. 이렇게 잘라서 속을 넣으면 먹을 때도 아주 깔끔하게 먹을 수 있답니다.']"
23,감자스프,"삶은 감자 2개,우유 2컵,양파 1/2,버터 1조각,소금,식빵(옵션)",2인분,30분 이내,아무나,"['1. 감자 2개를 삶아 준비해 주세요.  다 익은 감자는 껍질을 벗겨주고 적당한 크기로 썰어 주세요.', '2. 팬에 버터 1조각을 녹여주고', '3. 양파 1/2를 채 썰어 녹인 버터에 볶아줍니다.', '4. 양파가 노르스름하게 잘 볶아지면 냄비에 담고   삶아 놓은 감자도 썰어 함께 넣고  우유 2컵을 넣어주세요.  감자 1개당 우유 1컵 분량으로 넣어 주심데요 (종이컵 계량)', '5. 그리고 곱게 갈아주면 돼요.  믹서기를 사용하시면 됩니다  * 양파, 감자는 한 김 식혀서 믹서기에 넣고 갈아주세요', '6. 곱게 갈아 놓은 감자스프를 보글보글 끓여주세요.  여기에 소금으로 간을 해주심 돼요.  드시는 분 입맛에 맞게 간해주세요.', '7. 함께 먹음 좋을 것 같아 식빵을 노릇노릇하게 구워 주었어요.  냉동실에 얼려둔 식빵 소환 ㅎㅎ  2장을 큐브 모양으로 잘라 주세요.  팬에 버터 1조각을\xa0 녹여주고', '8. 잘라 놓은 식빵을 넣고 바삭하게 구워 줍니다.', '9. 감자수프를 그릇에 담고 바삭 튀겨놓은 식빵을 올려주고  파슬리, 후추 톡톡 뿌려 맛있게 먹으면 됩니다.']"
24,감자전,"감자 3개,물 감자가잠길만큼,소금 1꼬집,식용유 넉넉히,간장 3큰술,식초 1/2큰술,청양 고추 다진 것 1개",2인분,15분 이내,아무나,"['1. 감자를 준비하시구요. 3개면 중간 크기의 감자전 2장이 나옵니다. ', '2. 감자를 믹서에 갈기 좋겠금 작게 잘라줍니다.', '3. 믹서에 자른 감자를 넣고 물은 감자가 갈릴 정도로 넣어줍니다. ', '4. 곱게 갈아주세요. ', '5. 요렇게 감자가 갈아졌네요. ', '6. 고운 체나 고운 천에서 믹서에 간 감자를 걸러주세요. ', '7. 곱게 갈린 감자가 체 위에 남게 되구요. ', '8. 물이 아래로 내려가게 되지요. 그러면 잠시 이 물을 가라앉힙니다. 그리고 이 윗물을 살포시 버려주세요.', '9. 그러면 아래에 감자전분만 남게 되지요. 이 감자전분이 감자전의 핵심 포인트입니다. 이 감자전분을 감자전 반죽에 같이 사용하는 것이랍니다. ', '10. 감자전분에 감자 간 것을 같이 섞어주세요.', '11. 잘 섞어진 감자전 반죽입니다. ', '12. 소금을 약간만 넣어주시구요. ', '13. 기름을 넉넉하게 두르고 한 국자씩 떠서 부쳐줍니다. 약간 작게 부치는 것이 뒤집기가 편하지요. 너무 크게 부치면 뒤집기가 어렵고 잘 부숴진답니다. 고추로 고명을 만들어주었구요. 노릇하게 부쳐지면 한번만 뒤집어서 익혀줍니다. 자주 뒤집지 마세요. 오히려 부숴진답니다. ', '14. 아주 바삭해보이지요? ', '15. 백선생표 감자전이 완성되었습니다.  강판에 갈지 않아 너무 편하구요. 소금 약간 외엔 아무것도 들어가지 않은 100% 감자전입니다. 젓가락으로 찢으면 요렇게 잘 찢어지는데요. 겉은 바삭하고 안은 쫀득한 감자전입니다. 양념간장은 간장 3큰술, 식초 반큰술, 청양고추를 다져서 만들어 주시구요. 바삭한 감자전, 한번 만들어 보세요. 이제 힘들게 강판에 감자를 갈지 마세요. 손을 다칠 수도 있구요. 편한 믹서를 사용해보세요. 요 감자전, 정말 강추 메뉴입니다.']"
